"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","132.93","134.15","134.19","132.72","380.11K","-0.79%"
"12/29/2022","133.99","133.50","134.42","133.35","309.23K","0.35%"
"12/28/2022","133.52","133.48","134.11","133.29","347.55K","0.05%"
"12/27/2022","133.45","134.69","134.75","133.25","298.02K","-1.11%"
"12/23/2022","134.95","135.38","135.41","134.62","317.81K","-0.27%"
"12/22/2022","135.31","135.86","136.20","134.98","395.32K","-0.42%"
"12/21/2022","135.88","135.84","136.32","135.60","449.48K","-0.02%"
"12/20/2022","135.91","137.20","137.22","135.78","591.65K","-0.90%"
"12/19/2022","137.15","137.57","137.76","136.81","444.31K","-0.20%"
"12/16/2022","137.43","138.46","138.62","136.96","861.13K","-0.88%"
"12/15/2022","138.65","140.06","140.78","138.12","1.08M","-1.28%"
"12/14/2022","140.45","140.62","141.06","139.65","736.38K","-0.28%"
"12/13/2022","140.84","140.17","141.70","139.77","717.72K","0.26%"
"12/12/2022","140.48","140.41","141.17","139.96","477.78K","-0.03%"
"12/09/2022","140.52","141.61","141.94","140.35","592.72K","-1.56%"
"12/08/2022","142.74","142.79","142.96","142.49","9.06K","0.07%"
"12/07/2022","142.64","142.76","143.38","142.17","117.68K","0.00%"
"12/06/2022","142.64","141.85","143.02","141.35","778.63K","0.61%"
"12/05/2022","141.77","142.06","142.47","141.46","1.13M","-0.08%"
"12/02/2022","141.89","142.65","143.18","141.74","1.22M","-0.38%"
"12/01/2022","142.43","141.86","142.77","141.67","1.50M","1.10%"
"11/30/2022","140.88","141.01","141.70","140.50","944.93K","-0.35%"
"11/29/2022","141.38","140.37","141.74","140.08","810.58K","0.68%"
"11/28/2022","140.42","140.80","141.42","139.78","610.24K","-0.05%"
"11/25/2022","140.49","142.03","142.03","140.34","560.17K","-1.16%"
"11/24/2022","142.14","141.20","142.60","141.20","515.88K","0.70%"
"11/23/2022","141.15","140.47","141.30","139.77","705.16K","0.54%"
"11/22/2022","140.39","140.06","140.64","139.89","520.57K","-0.02%"
"11/21/2022","140.42","140.14","140.88","139.55","513.83K","0.17%"
"11/18/2022","140.18","140.01","140.50","139.17","531.38K","0.12%"
"11/17/2022","140.01","140.70","141.09","139.73","701.19K","-0.26%"
"11/16/2022","140.38","139.71","140.86","138.70","763.84K","0.75%"
"11/15/2022","139.33","138.62","139.92","138.38","842.09K","0.57%"
"11/14/2022","138.54","138.41","139.26","138.26","541.01K","0.01%"
"11/11/2022","138.52","140.32","140.38","138.40","601.22K","-1.41%"
"11/10/2022","140.50","138.57","140.72","137.97","891.49K","1.66%"
"11/09/2022","138.20","137.10","138.46","136.92","717.50K","0.81%"
"11/08/2022","137.09","136.14","137.32","135.76","673.54K","0.47%"
