"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","145.46","145.54","145.80","145.45","16.01K","-0.05%"
"12/29/2022","145.53","145.66","145.83","145.47","14.02K","-0.09%"
"12/28/2022","145.66","145.72","145.84","145.53","14.38K","-0.04%"
"12/27/2022","145.72","145.94","146.02","145.67","10.38K","-0.12%"
"12/26/2022","145.89","146.11","146.26","145.89","11.97K","-0.14%"
"12/23/2022","146.09","146.36","146.39","146.00","18.00K","-0.11%"
"12/22/2022","146.25","145.82","146.64","145.81","27.34K","0.34%"
"12/21/2022","145.76","146.20","146.74","145.76","35.94K","-0.26%"
"12/20/2022","146.14","147.88","147.97","145.52","25.64K","-1.16%"
"12/19/2022","147.86","148.04","148.11","147.69","19.60K","-0.08%"
"12/16/2022","147.98","148.02","148.12","147.92","16.09K","-0.01%"
"12/15/2022","148.00","148.21","148.27","147.91","19.38K","-0.13%"
"12/14/2022","148.20","148.04","148.41","147.99","17.16K","-0.38%"
"12/13/2022","148.76","148.90","149.04","148.71","2.12K","-0.02%"
"12/12/2022","148.79","148.96","149.20","148.68","5.69K","-0.13%"
"12/09/2022","148.99","149.04","149.15","148.89","9.07K","-0.05%"
"12/08/2022","149.06","149.19","149.44","148.97","18.69K","-0.06%"
"12/07/2022","149.15","148.86","149.19","148.80","19.56K","0.21%"
"12/06/2022","148.84","148.83","148.96","148.73","19.92K","0.01%"
"12/05/2022","148.83","148.93","149.14","148.72","20.49K","-0.07%"
"12/02/2022","148.94","148.99","149.24","148.85","24.71K","-0.02%"
"12/01/2022","148.97","148.71","149.11","148.63","24.33K","0.17%"
"11/30/2022","148.72","148.78","149.00","148.69","19.59K","-0.04%"
"11/29/2022","148.78","149.07","149.07","148.66","18.73K","-0.16%"
"11/28/2022","149.02","148.94","149.04","148.71","19.66K","0.03%"
"11/25/2022","148.97","149.38","149.48","148.87","25.53K","-0.27%"
"11/24/2022","149.38","149.37","149.47","149.23","15.64K","-0.01%"
"11/23/2022","149.40","149.28","149.42","149.17","","0.04%"
"11/22/2022","149.34","149.43","149.47","149.27","16.20K","-0.05%"
"11/21/2022","149.41","149.43","149.46","149.24","14.84K","0.02%"
"11/18/2022","149.38","149.49","149.60","149.33","20.69K","-0.08%"
"11/17/2022","149.50","149.33","149.59","149.27","23.40K","0.09%"
"11/16/2022","149.36","149.45","149.68","149.30","21.51K","-0.05%"
"11/15/2022","149.43","149.27","149.44","149.27","18.10K","0.11%"
"11/14/2022","149.26","149.47","149.64","149.23","18.45K","-0.15%"
"11/11/2022","149.48","149.11","149.75","148.98","35.22K","0.25%"
"11/10/2022","149.11","148.87","149.22","148.82","25.24K","0.17%"
"11/09/2022","148.85","148.41","148.90","148.39","24.86K","0.30%"
"11/08/2022","148.41","148.48","148.62","148.38","15.40K","-0.05%"
"11/07/2022","148.48","148.40","148.55","148.30","17.88K","0.03%"
"11/04/2022","148.43","148.78","148.95","148.24","28.05K","0.03%"
"11/03/2022","148.39","148.57","148.74","148.38","","-0.28%"
"11/02/2022","148.80","148.87","149.10","148.71","20.41K","-0.04%"
"11/01/2022","148.86","148.78","148.86","148.61","18.29K","0.06%"
"10/31/2022","148.77","148.78","148.84","148.62","21.27K","0.00%"
"10/28/2022","148.77","148.66","148.95","148.41","30.88K","0.07%"
"10/27/2022","148.66","148.40","148.75","148.27","28.89K","0.23%"
"10/26/2022","148.32","148.05","148.53","148.05","32.60K","0.22%"
"10/25/2022","148.00","147.90","148.05","147.78","18.16K","0.10%"
"10/24/2022","147.85","147.57","147.98","147.42","24.52K","0.17%"
"10/21/2022","147.60","147.91","148.07","147.38","28.72K","-0.20%"
"10/20/2022","147.89","148.13","148.16","147.86","21.52K","-0.19%"
"10/19/2022","148.17","148.27","148.28","148.12","14.97K","-0.07%"
"10/18/2022","148.27","148.20","148.34","148.16","18.97K","0.05%"
"10/17/2022","148.20","148.40","148.48","148.16","19.11K","-0.09%"
"10/14/2022","148.33","148.38","148.55","148.08","25.56K","-0.01%"
"10/13/2022","148.35","148.46","148.49","148.20","15.88K","-0.04%"
"10/12/2022","148.41","148.29","148.51","148.23","19.19K","0.11%"
"10/11/2022","148.25","148.51","148.70","148.24","18.78K","-0.05%"
"10/10/2022","148.32","148.42","148.47","148.19","","-0.06%"
"10/09/2022","148.41","148.42","148.42","148.41","","-0.14%"
"10/07/2022","148.62","148.83","148.86","148.54","18.79K","-0.15%"
"10/06/2022","148.85","148.98","149.00","148.72","20.42K","-0.10%"
"10/05/2022","149.00","149.05","149.20","148.97","21.23K","-0.02%"
"10/04/2022","149.03","148.56","149.05","148.47","28.29K","0.32%"
"10/03/2022","148.56","148.34","148.67","148.34","21.75K","0.18%"
"09/30/2022","148.30","148.07","148.41","148.01","23.71K","0.14%"
"09/29/2022","148.10","147.95","148.50","147.84","32.10K","0.08%"
"09/28/2022","147.98","147.88","148.24","147.74","28.27K","0.12%"
"09/27/2022","147.80","147.98","148.10","147.62","28.79K","-0.14%"
