"Date","Price","Open","High","Low","Change %"
"12/30/2022","4.000","3.946","4.035","3.943","1.42%"
"12/29/2022","3.944","3.971","3.983","3.934","-0.72%"
"12/28/2022","3.973","3.945","3.987","3.911","0.72%"
"12/27/2022","3.945","3.859","3.968","3.848","2.28%"
"12/26/2022","3.857","3.862","3.862","3.857","-0.14%"
"12/23/2022","3.862","3.803","3.875","3.796","1.47%"
"12/22/2022","3.806","3.773","3.810","3.731","0.74%"
"12/21/2022","3.778","3.798","3.813","3.711","-0.41%"
"12/20/2022","3.794","3.719","3.820","3.704","2.01%"
"12/19/2022","3.719","3.654","3.728","3.626","2.67%"
"12/16/2022","3.622","3.632","3.720","3.598","0.04%"
"12/15/2022","3.621","3.633","3.673","3.597","0.14%"
"12/14/2022","3.616","3.647","3.716","3.597","-0.81%"
"12/13/2022","3.646","3.784","3.793","3.556","-3.84%"
"12/12/2022","3.791","3.783","3.817","3.717","0.50%"
"12/09/2022","3.772","3.710","3.779","3.660","1.62%"
"12/08/2022","3.712","3.638","3.726","3.636","2.32%"
"12/07/2022","3.628","3.759","3.769","3.607","-3.27%"
"12/06/2022","3.750","3.788","3.809","3.724","-1.01%"
"12/05/2022","3.788","3.688","3.809","3.686","3.53%"
"12/02/2022","3.659","3.671","3.821","3.635","-0.20%"
"12/01/2022","3.666","3.749","3.792","3.659","-2.29%"
"11/30/2022","3.752","3.924","3.999","3.738","-4.41%"
"11/29/2022","3.925","3.885","3.941","3.835","1.35%"
"11/28/2022","3.873","3.870","3.903","3.814","0.09%"
"11/25/2022","3.870","3.840","3.951","3.830","0.72%"
"11/24/2022","3.842","3.839","3.842","3.839","-0.89%"
"11/23/2022","3.877","3.946","4.002","3.875","-1.81%"
"11/22/2022","3.948","3.988","3.988","3.929","-1.89%"
"11/21/2022","4.024","3.998","4.030","3.944","0.39%"
"11/18/2022","4.009","3.954","4.012","3.914","1.81%"
"11/17/2022","3.937","3.854","3.963","3.833","2.16%"
"11/16/2022","3.854","3.896","3.967","3.826","-1.21%"
"11/15/2022","3.901","4.002","4.011","3.864","-2.36%"
"11/14/2022","3.995","4.014","4.037","3.976","1.50%"
"11/10/2022","3.936","4.234","4.284","3.931","-7.27%"
"11/09/2022","4.244","4.303","4.342","4.227","-1.23%"
"11/08/2022","4.297","4.398","4.421","4.296","-2.22%"
"11/07/2022","4.395","4.340","4.402","4.320","1.48%"
"11/04/2022","4.331","4.382","4.455","4.294","-0.81%"
"11/03/2022","4.366","4.317","4.439","4.292","1.44%"
"11/02/2022","4.304","4.264","4.323","4.146","0.74%"
"11/01/2022","4.272","4.237","4.276","4.102","1.00%"
"10/31/2022","4.230","4.200","4.285","4.200","1.17%"
"10/28/2022","4.181","4.066","4.214","4.047","2.83%"
"10/27/2022","4.066","4.191","4.263","4.043","-2.92%"
"10/26/2022","4.188","4.252","4.279","4.165","-1.67%"
"10/25/2022","4.259","4.343","4.350","4.195","-2.45%"
"10/24/2022","4.366","4.327","4.402","4.241","0.41%"
"10/21/2022","4.348","4.437","4.506","4.305","-2.24%"
"10/20/2022","4.448","4.364","4.461","4.325","2.05%"
"10/19/2022","4.359","4.223","4.364","4.220","3.24%"
"10/18/2022","4.222","4.220","4.269","4.172","-0.25%"
"10/17/2022","4.232","4.250","4.259","4.139","-0.87%"
"10/14/2022","4.269","4.229","4.293","4.107","1.47%"
"10/13/2022","4.207","4.125","4.344","4.058","2.09%"
"10/12/2022","4.121","4.176","4.193","4.090","-1.22%"
"10/11/2022","4.172","4.174","4.234","4.093","-0.04%"
"10/10/2022","4.174","4.170","4.174","4.170","0.59%"
"10/07/2022","4.149","4.071","4.174","4.064","1.89%"
"10/06/2022","4.072","3.959","4.076","3.938","2.72%"
"10/05/2022","3.964","3.842","4.004","3.825","2.87%"
"10/04/2022","3.854","3.845","3.883","3.768","-0.71%"
"10/03/2022","3.882","4.066","4.074","3.787","-5.01%"
"09/30/2022","4.087","4.021","4.097","3.925","1.73%"
"09/29/2022","4.017","3.977","4.099","3.957","1.67%"
"09/28/2022","3.951","4.184","4.251","3.910","-5.82%"
"09/27/2022","4.195","4.182","4.239","4.045","-0.07%"
"09/26/2022","4.199","4.035","4.200","4.013","5.57%"
"09/23/2022","3.977","3.938","4.084","3.905","1.22%"
"09/22/2022","3.929","3.789","3.942","3.775","4.28%"
"09/21/2022","3.768","3.739","3.861","3.695","0.43%"
"09/20/2022","3.752","3.688","3.777","3.670","1.69%"
"09/19/2022","3.689","3.626","3.714","3.626","1.46%"
"09/16/2022","3.636","3.665","3.705","3.613","-0.70%"
"09/15/2022","3.662","3.607","3.690","3.596","1.72%"
"09/14/2022","3.600","3.596","3.658","3.563","0.64%"
"09/13/2022","3.577","3.435","3.621","3.383","3.60%"
"09/12/2022","3.453","3.437","3.474","3.383","0.46%"
"09/09/2022","3.437","3.426","3.453","3.349","0.27%"
"09/08/2022","3.428","3.365","3.431","3.289","2.01%"
"09/07/2022","3.360","3.454","3.471","3.353","-2.70%"
"09/06/2022","3.454","3.334","3.462","3.320","3.53%"
"09/05/2022","3.336","3.338","3.338","3.332","1.15%"
"09/02/2022","3.298","3.408","3.413","3.269","-3.13%"
"09/01/2022","3.404","3.354","3.442","3.323","1.55%"
"08/31/2022","3.353","3.267","3.358","3.251","2.47%"
"08/30/2022","3.272","3.248","3.313","3.203","0.32%"
"08/29/2022","3.261","3.246","3.301","3.241","2.20%"
"08/26/2022","3.191","3.162","3.229","3.137","1.03%"
"08/25/2022","3.159","3.207","3.224","3.151","-2.40%"
"08/24/2022","3.237","3.175","3.258","3.134","1.82%"
"08/23/2022","3.179","3.163","3.207","3.097","0.45%"
"08/22/2022","3.165","3.114","3.184","3.071","2.19%"
"08/19/2022","3.097","3.020","3.128","3.020","2.12%"
"08/18/2022","3.032","3.048","3.082","2.977","-0.67%"
"08/17/2022","3.053","2.970","3.084","2.956","3.09%"
"08/16/2022","2.961","2.893","2.984","2.884","1.89%"
"08/15/2022","2.907","2.968","2.992","2.878","-1.96%"
