"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","0.33866","0.33906","0.33988","0.33562","20.89M","-0.10%"
"12/31/2022","0.33899","0.34504","0.34517","0.33878","20.70M","-1.79%"
"12/30/2022","0.34516","0.34206","0.34584","0.33374","54.14M","0.93%"
"12/29/2022","0.34198","0.35584","0.35777","0.33731","90.70M","-3.87%"
"12/28/2022","0.35575","0.36748","0.36866","0.35494","78.94M","-3.19%"
"12/27/2022","0.36746","0.36577","0.37269","0.35865","68.11M","0.45%"
"12/26/2022","0.36582","0.34567","0.36963","0.34559","67.18M","5.79%"
"12/25/2022","0.34581","0.35171","0.35185","0.34390","28.23M","-1.68%"
"12/24/2022","0.35171","0.35428","0.35428","0.35104","14.72M","-0.74%"
"12/23/2022","0.35432","0.34912","0.35488","0.34715","42.78M","1.49%"
"12/22/2022","0.34912","0.34478","0.35017","0.34148","49.99M","1.22%"
"12/21/2022","0.34492","0.34811","0.35022","0.33821","61.38M","-0.90%"
"12/20/2022","0.34805","0.33878","0.35283","0.33588","107.76M","2.75%"
"12/19/2022","0.33874","0.34983","0.35286","0.33210","68.83M","-3.16%"
"12/18/2022","0.34980","0.35452","0.35525","0.34769","8.53M","-1.33%"
"12/17/2022","0.35450","0.35093","0.35694","0.34706","39.01M","1.02%"
"12/16/2022","0.35093","0.37792","0.37980","0.34454","78.03M","-7.14%"
"12/15/2022","0.37792","0.38517","0.38672","0.37405","61.68M","-1.88%"
"12/14/2022","0.38517","0.39507","0.39535","0.37683","62.66M","-2.52%"
"12/13/2022","0.39511","0.38743","0.39652","0.37833","65.30M","2.00%"
"12/12/2022","0.38737","0.38075","0.38960","0.37077","49.10M","1.71%"
"12/11/2022","0.38085","0.38646","0.38846","0.37832","20.10M","-1.44%"
"12/10/2022","0.38642","0.38884","0.38925","0.38547","16.86M","-0.62%"
"12/09/2022","0.38884","0.39412","0.39505","0.38487","43.54M","-1.39%"
"12/08/2022","0.39431","0.38320","0.39602","0.38296","47.89M","2.90%"
"12/07/2022","0.38319","0.39132","0.39233","0.37455","52.47M","-2.09%"
"12/06/2022","0.39136","0.38920","0.39235","0.38076","52.58M","0.53%"
"12/05/2022","0.38930","0.38952","0.39511","0.38007","49.41M","-0.05%"
"12/04/2022","0.38951","0.38720","0.39295","0.38624","24.07M","0.59%"
"12/03/2022","0.38722","0.39588","0.39696","0.38537","26.66M","-2.21%"
"12/02/2022","0.39597","0.39684","0.39746","0.38400","44.82M","-0.21%"
"12/01/2022","0.39679","0.40773","0.40897","0.39452","42.91M","-2.71%"
"11/30/2022","0.40783","0.39805","0.41119","0.39330","48.63M","2.42%"
"11/29/2022","0.39820","0.38876","0.40334","0.38323","57.13M","2.30%"
"11/28/2022","0.38923","0.39620","0.39899","0.37344","75.11M","-1.73%"
"11/27/2022","0.39608","0.39608","0.40906","0.39429","34.44M","0.05%"
"11/26/2022","0.39587","0.40776","0.41439","0.39283","30.59M","-2.86%"
"11/25/2022","0.40752","0.40190","0.41907","0.38901","66.17M","1.39%"
"11/24/2022","0.40193","0.38148","0.40474","0.37420","67.84M","5.32%"
"11/23/2022","0.38161","0.37556","0.38221","0.36818","52.79M","1.61%"
"11/22/2022","0.37556","0.36454","0.37824","0.35125","69.04M","3.05%"
"11/21/2022","0.36445","0.36100","0.36859","0.34566","83.48M","0.93%"
"11/20/2022","0.36108","0.38410","0.39614","0.35901","44.41M","-6.00%"
"11/19/2022","0.38414","0.37905","0.38830","0.37880","29.25M","0.70%"
"11/18/2022","0.38146","0.37951","0.38495","0.37459","46.33M","-0.59%"
"11/17/2022","0.38373","0.37507","0.38670","0.36925","71.91M","2.70%"
"11/16/2022","0.37364","0.38869","0.39101","0.36199","55.89M","-3.86%"
"11/15/2022","0.38865","0.37760","0.39742","0.36679","99.13M","2.92%"
"11/14/2022","0.37764","0.34074","0.37951","0.32158","103.58M","10.76%"
"11/13/2022","0.34096","0.36361","0.36929","0.33297","54.09M","-6.20%"
"11/12/2022","0.36349","0.38424","0.38466","0.35975","45.70M","-5.42%"
"11/11/2022","0.38430","0.39418","0.39882","0.36623","69.97M","-2.57%"
"11/10/2022","0.39442","0.33299","0.40275","0.33006","111.59M","18.72%"
"11/09/2022","0.33223","0.40547","0.41076","0.31479","151.51M","-18.12%"
"11/08/2022","0.40577","0.46473","0.46679","0.33467","161.07M","-12.68%"
"11/07/2022","0.46469","0.47088","0.47989","0.45872","57.51M","-1.32%"
"11/06/2022","0.47090","0.49306","0.49483","0.46811","28.75M","-4.49%"
"11/05/2022","0.49305","0.50629","0.50968","0.48943","36.18M","-2.65%"
"11/04/2022","0.50648","0.45484","0.50766","0.45326","112.45M","11.36%"
"11/03/2022","0.45483","0.44987","0.45972","0.44888","51.61M","1.11%"
"11/02/2022","0.44984","0.46362","0.46587","0.44550","67.27M","-2.98%"
"11/01/2022","0.46366","0.46420","0.46702","0.45457","58.37M","-0.14%"
"10/31/2022","0.46431","0.45818","0.46731","0.44816","79.55M","1.36%"
"10/30/2022","0.45809","0.47019","0.47316","0.45423","42.44M","-2.55%"
"10/29/2022","0.47008","0.47431","0.48361","0.46636","60.87M","-0.92%"
"10/28/2022","0.47446","0.46154","0.47541","0.45660","47.04M","2.81%"
"10/27/2022","0.46150","0.46884","0.48239","0.45872","90.92M","-1.60%"
"10/26/2022","0.46900","0.46064","0.47102","0.45666","80.02M","1.79%"
"10/25/2022","0.46076","0.45306","0.47275","0.44365","84.40M","1.70%"
"10/24/2022","0.45306","0.46891","0.47277","0.44811","67.05M","-3.38%"
"10/23/2022","0.46890","0.46546","0.47249","0.45206","43.72M","0.74%"
"10/22/2022","0.46546","0.46141","0.47053","0.45626","37.26M","0.88%"
"10/21/2022","0.46141","0.44669","0.46164","0.43469","85.75M","3.34%"
"10/20/2022","0.44651","0.45047","0.46462","0.42642","87.86M","-0.88%"
"10/19/2022","0.45048","0.46571","0.46657","0.44745","67.34M","-3.28%"
"10/18/2022","0.46577","0.48045","0.48431","0.45720","74.92M","-2.99%"
"10/17/2022","0.48014","0.47646","0.48233","0.46264","64.14M","0.75%"
"10/16/2022","0.47657","0.48181","0.48737","0.46824","43.16M","-1.09%"
"10/15/2022","0.48184","0.48824","0.49009","0.47803","38.84M","-1.34%"
"10/14/2022","0.48839","0.47911","0.51203","0.47834","100.33M","1.93%"
"10/13/2022","0.47915","0.48815","0.48944","0.44111","146.15M","-1.85%"
"10/12/2022","0.48820","0.48596","0.49571","0.48210","70.07M","0.44%"
"10/11/2022","0.48608","0.49386","0.50229","0.47776","102.85M","-1.57%"
"10/10/2022","0.49385","0.53257","0.53781","0.49353","101.50M","-7.22%"
"10/09/2022","0.53226","0.51704","0.54662","0.50593","80.22M","2.92%"
"10/08/2022","0.51714","0.51761","0.52910","0.51123","74.44M","-0.15%"
"10/07/2022","0.51791","0.49329","0.53250","0.48202","103.61M","4.95%"
"10/06/2022","0.49349","0.48872","0.50563","0.48827","88.98M","0.99%"
"10/05/2022","0.48863","0.47949","0.50148","0.47200","122.36M","1.90%"
"10/04/2022","0.47954","0.46206","0.48541","0.45156","106.61M","3.75%"
"10/03/2022","0.46222","0.44847","0.46927","0.43775","95.53M","3.07%"
"10/02/2022","0.44844","0.47547","0.47855","0.44446","82.41M","-5.69%"
"10/01/2022","0.47548","0.47986","0.48598","0.46689","74.54M","-0.91%"
"09/30/2022","0.47986","0.48755","0.49873","0.47035","150.04M","-1.51%"
"09/29/2022","0.48720","0.44918","0.50902","0.42696","149.06M","8.52%"
"09/28/2022","0.44893","0.44599","0.45546","0.41775","133.49M","0.53%"
"09/27/2022","0.44658","0.46818","0.48716","0.43576","151.25M","-4.61%"
"09/26/2022","0.46817","0.49162","0.50136","0.45797","157.17M","-4.86%"
"09/25/2022","0.49206","0.48776","0.52030","0.47583","176.98M","0.88%"
"09/24/2022","0.48778","0.50696","0.51914","0.47199","204.35M","-3.73%"
"09/23/2022","0.50670","0.48599","0.55848","0.45660","373.47M","4.39%"
"09/22/2022","0.48537","0.39350","0.50018","0.39347","259.63M","23.35%"
"09/21/2022","0.39350","0.41376","0.43237","0.38298","215.89M","-4.90%"
"09/20/2022","0.41379","0.38480","0.42278","0.37041","214.78M","7.55%"
"09/19/2022","0.38474","0.35771","0.39292","0.34021","144.45M","7.56%"
"09/18/2022","0.35769","0.37625","0.39756","0.35582","149.61M","-4.86%"
"09/17/2022","0.37595","0.35507","0.38058","0.34643","84.59M","5.92%"
"09/16/2022","0.35493","0.32617","0.35809","0.32152","77.53M","8.79%"
"09/15/2022","0.32624","0.34140","0.34271","0.32445","120.76M","-4.49%"
"09/14/2022","0.34158","0.33253","0.34417","0.33121","104.68M","2.71%"
"09/13/2022","0.33258","0.35977","0.36018","0.33092","132.85M","-7.55%"
"09/12/2022","0.35973","0.35515","0.36000","0.34794","62.21M","1.28%"
"09/11/2022","0.35517","0.35729","0.36026","0.34936","38.40M","-0.59%"
"09/10/2022","0.35729","0.35675","0.36176","0.35163","53.53M","0.13%"
"09/09/2022","0.35684","0.33956","0.35921","0.33942","95.07M","5.09%"
"09/08/2022","0.33956","0.33691","0.34337","0.32840","84.56M","0.79%"
"09/07/2022","0.33689","0.32121","0.33858","0.31273","102.61M","4.88%"
"09/06/2022","0.32123","0.33295","0.34297","0.31863","103.78M","-3.52%"
"09/05/2022","0.33295","0.33170","0.33360","0.32252","39.51M","0.39%"
"09/04/2022","0.33167","0.32968","0.33261","0.32772","27.10M","0.60%"
"09/03/2022","0.32968","0.33141","0.33403","0.32667","32.66M","-0.52%"
"09/02/2022","0.33141","0.33330","0.33531","0.32530","55.48M","-0.54%"
"09/01/2022","0.33320","0.32767","0.33336","0.32159","91.89M","1.66%"
"08/31/2022","0.32775","0.32683","0.33390","0.32318","84.11M","0.32%"
"08/30/2022","0.32669","0.33373","0.33569","0.32028","91.20M","-2.14%"
"08/29/2022","0.33382","0.32251","0.33400","0.31867","66.69M","3.54%"
"08/28/2022","0.32240","0.33467","0.33720","0.32142","39.79M","-3.67%"
"08/27/2022","0.33467","0.33922","0.34482","0.32841","51.17M","-1.33%"
"08/26/2022","0.33919","0.34909","0.37075","0.33265","121.73M","-2.86%"
"08/25/2022","0.34916","0.34571","0.35209","0.34353","89.77M","1.01%"
"08/24/2022","0.34567","0.34738","0.35248","0.33889","79.93M","-0.46%"
"08/23/2022","0.34726","0.34394","0.34794","0.33268","85.70M","0.94%"
"08/22/2022","0.34403","0.34477","0.34515","0.33149","61.52M","-0.22%"
"08/21/2022","0.34479","0.33681","0.34845","0.33555","44.21M","2.37%"
"08/20/2022","0.33681","0.33446","0.34273","0.33206","55.11M","0.71%"
"08/19/2022","0.33442","0.37031","0.37057","0.32946","116.49M","-9.68%"
"08/18/2022","0.37026","0.37956","0.38120","0.36917","70.05M","-2.41%"
"08/17/2022","0.37941","0.37695","0.39195","0.36819","95.13M","0.66%"
"08/16/2022","0.37691","0.37516","0.37828","0.36661","54.22M","0.47%"
"08/15/2022","0.37516","0.37560","0.38510","0.36595","46.38M","-0.13%"
"08/14/2022","0.37565","0.37802","0.39219","0.37395","38.54M","-0.61%"
"08/13/2022","0.37796","0.37957","0.38749","0.37634","26.58M","-0.41%"
